date;US;Mexico;Belgium;Afghanistan;Netherlands
2020-01-22;1;0;0;0;0
2020-01-23;1;0;0;0;0
2020-01-24;2;0;0;0;0
2020-01-25;2;0;0;0;0
2020-01-26;5;0;0;0;0
2020-01-27;5;0;0;0;0
2020-01-28;5;0;0;0;0
2020-01-29;6;0;0;0;0
2020-01-30;6;0;0;0;0
2020-01-31;8;0;0;0;0
2020-02-01;8;0;0;0;0
2020-02-02;8;0;0;0;0
2020-02-03;11;0;0;0;0
2020-02-04;11;0;1;0;0
2020-02-05;11;0;1;0;0
2020-02-06;12;0;1;0;0
2020-02-07;12;0;1;0;0
2020-02-08;12;0;1;0;0
2020-02-09;12;0;1;0;0
2020-02-10;12;0;1;0;0
2020-02-11;13;0;1;0;0
2020-02-12;13;0;1;0;0
2020-02-13;14;0;1;0;0
2020-02-14;14;0;1;0;0
2020-02-15;14;0;1;0;0
2020-02-16;14;0;1;0;0
2020-02-17;14;0;1;0;0
2020-02-18;14;0;1;0;0
2020-02-19;14;0;1;0;0
2020-02-20;14;0;1;0;0
2020-02-21;16;0;1;0;0
2020-02-22;16;0;1;0;0
2020-02-23;16;0;1;0;0
2020-02-24;16;0;1;5;0
2020-02-25;16;0;1;5;0
2020-02-26;16;0;1;5;0
2020-02-27;17;0;1;5;1
2020-02-28;17;1;1;5;6
2020-02-29;25;4;1;5;10
2020-03-01;32;5;2;5;18
2020-03-02;55;5;8;5;24
2020-03-03;74;5;13;5;38
2020-03-04;107;5;23;5;82
2020-03-05;184;5;50;5;128
2020-03-06;237;6;109;5;188
2020-03-07;403;6;169;8;265
2020-03-08;519;7;200;8;321
2020-03-09;594;7;239;8;382
2020-03-10;782;7;267;8;503
2020-03-11;1147;8;314;11;603
2020-03-12;1586;12;314;11;804
2020-03-13;2219;26;559;11;961
2020-03-14;2978;41;689;14;1138
2020-03-15;3212;53;886;20;1416
2020-03-16;4679;82;1058;25;1708
2020-03-17;6512;93;1243;26;2057
2020-03-18;9169;118;1486;26;2467
2020-03-19;13663;164;1795;26;3001
2020-03-20;20030;203;2257;24;3640
2020-03-21;26025;251;2815;24;4213
2020-03-22;34944;316;3401;34;4762
2020-03-23;46096;367;3743;40;5575
2020-03-24;56714;405;4269;42;6432
2020-03-25;68841;475;4937;74;7457
2020-03-26;86662;585;6235;80;8640
2020-03-27;105253;717;7284;91;9806
2020-03-28;127417;848;9134;106;10923
2020-03-29;143544;993;10836;114;11814
2020-03-30;165698;1094;11899;114;12662
2020-03-31;192079;1215;12775;166;13686
2020-04-01;223254;1378;13964;192;14779
2020-04-02;255530;1510;15348;235;15814
2020-04-03;287931;1688;16770;269;16725
2020-04-04;319776;1890;18431;270;17951
2020-04-05;349016;2143;19691;299;18905
2020-04-06;380798;2439;20814;337;19703
2020-04-07;410834;2785;22194;367;20678
2020-04-08;441897;3181;23403;423;21895
2020-04-09;477507;3441;24983;444;23238
2020-04-10;511790;3844;26667;521;24565
2020-04-11;540714;4219;28018;521;25745
2020-04-12;567022;4661;29647;555;26710
2020-04-13;594165;5014;30589;607;27578
2020-04-14;622493;5399;31119;665;28314
2020-04-15;648390;5847;33573;770;29377
2020-04-16;678028;6297;34809;794;30618
2020-04-17;711135;6875;36138;845;31759
2020-04-18;738464;7497;37183;908;32832
2020-04-19;763886;8261;38496;933;33588
2020-04-20;793970;8772;39983;996;34317
2020-04-21;820045;9501;40956;1026;35025
2020-04-22;849926;10544;41889;1092;35919
2020-04-23;881891;11633;42797;1176;36727
2020-04-24;913856;12872;44293;1226;37384
2020-04-25;944770;13842;45325;1330;38039
2020-04-26;970741;14677;46134;1463;38440
2020-04-27;995391;15529;46687;1531;38611
2020-04-28;1019964;16752;47334;1703;38998
2020-04-29;1046816;17799;47859;1827;39512
2020-04-30;1076518;19224;48519;1827;39987
2020-05-01;1111410;20739;49032;2171;40434
2020-05-02;1138174;22088;49517;2469;40769
2020-05-03;1161907;23471;49906;2469;40968
2020-05-04;1185709;24905;50267;2469;41285
2020-05-05;1209728;26025;50509;2469;41518
2020-05-06;1234210;27634;50781;3224;41973
2020-05-07;1261949;29616;51420;3392;42292
2020-05-08;1289132;31522;52011;3563;42581
2020-05-09;1313586;33460;52596;3563;42826
2020-05-10;1332333;35022;53081;4402;42987
2020-05-11;1351410;36327;53449;4664;43183
2020-05-12;1374792;38324;53779;4967;43410
2020-05-13;1394807;40186;53981;4967;43680
2020-05-14;1420697;42595;54288;5339;43880
2020-05-15;1445548;45032;54644;6053;44069
2020-05-16;1469598;47144;54989;6402;44195
2020-05-17;1488327;49219;55280;6635;44341
2020-05-18;1510635;51633;55559;7072;44449
2020-05-19;1531138;54346;55791;7655;44647
2020-05-20;1553964;56594;55983;8145;44900
2020-05-21;1579116;59567;56235;8676;45088
2020-05-22;1602945;62527;56511;9216;45264
2020-05-23;1623134;65856;56810;9952;45437
2020-05-24;1643308;68620;57092;10668;45646
2020-05-25;1662402;71105;57342;11180;45780
2020-05-26;1681128;74560;57455;11917;45970
2020-05-27;1699891;78023;57592;12465;46152
2020-05-28;1721159;81400;57849;13102;46328
2020-05-29;1746241;84627;58061;13745;46459
2020-05-30;1769321;87512;58186;14529;46645
2020-05-31;1788240;90664;58381;15180;46748
2020-06-01;1806080;93435;58517;15836;46851
2020-06-02;1826170;97326;58615;16578;46938
2020-06-03;1845326;101238;58685;17353;47148
2020-06-04;1873260;105680;58767;17977;47358
2020-06-05;1899700;110026;58907;19055;47541
2020-06-06;1919969;113619;59072;19637;47780
2020-06-07;1937795;117103;59226;20428;47945
2020-06-08;1954695;120102;59348;21003;48109
2020-06-09;1975016;124301;59437;21308;48293
2020-06-10;1996734;129184;59569;22228;48458
2020-06-11;2019012;133974;59711;22976;48668
