date;US;Mexico;Belgium;Afghanistan;Netherlands
2020-12-12;0.0;0.0;0.0;0.0;0.0
2020-12-13;0.0;0.0;0.0;0.0;0.0
2020-12-14;50.0;0.0;0.0;0.0;0.0
2020-12-15;1058.0;0.0;0.0;0.0;0.0
2020-12-16;12835.0;0.0;0.0;0.0;0.0
2020-12-17;42552.0;0.0;0.0;0.0;0.0
2020-12-18;120538.0;0.0;0.0;0.0;0.0
2020-12-19;192759.0;0.0;0.0;0.0;0.0
2020-12-20;261890.0;0.0;0.0;0.0;0.0
2020-12-21;431796.0;0.0;0.0;0.0;0.0
2020-12-22;664308.0;0.0;0.0;0.0;0.0
2020-12-23;887162.0;2924.0;0.0;0.0;0.0
2020-12-24;1088129.0;2924.0;0.0;0.0;0.0
2020-12-25;1162876.0;2924.0;0.0;0.0;0.0
2020-12-26;1247578.0;6824.0;0.0;0.0;0.0
2020-12-27;1304297.0;9579.0;298.0;0.0;0.0
2020-12-28;1554739.0;18529.0;299.0;0.0;0.0
2020-12-29;1902617.0;24998.0;778.0;0.0;0.0
2020-12-30;2289894.0;24998.0;787.0;0.0;0.0
2020-12-31;2595436.0;24998.0;794.0;0.0;0.0
2021-01-01;2786421.0;24998.0;794.0;0.0;0.0
2021-01-02;2922919.0;24998.0;794.0;0.0;0.0
2021-01-03;3432489.0;43960.0;795.0;0.0;0.0
2021-01-04;3617422.0;48236.0;2354.0;0.0;0.0
2021-01-05;4070699.0;53185.0;6218.0;0.0;6000.0
2021-01-06;4423969.0;58402.0;14340.0;0.0;15000.0
2021-01-07;5040908.0;67468.0;23484.0;0.0;27000.0
2021-01-08;5770333.0;74794.0;26671.0;0.0;30000.0
2021-01-09;6261840.0;81300.0;27067.0;0.0;34000.0
2021-01-10;6569481.0;87060.0;32518.0;0.0;35500.0
2021-01-11;7247818.0;92879.0;47987.0;0.0;45000.0
2021-01-12;8516869.0;192567.0;68578.0;0.0;47000.0
2021-01-13;9634690.0;329983.0;91122.0;0.0;47000.0
2021-01-14;10630221.0;417375.0;113580.0;0.0;55000.0
2021-01-15;11535125.0;463246.0;118563.0;0.0;55000.0
2021-01-16;12344845.0;472142.0;121847.0;0.0;77000.0
2021-01-17;12819908.0;492529.0;132119.0;0.0;77000.0
2021-01-18;13228257.0;498122.0;150657.0;0.0;77000.0
2021-01-19;13386025.0;501030.0;170936.0;0.0;100000.0
2021-01-20;14977618.0;552335.0;200335.0;0.0;100000.0
2021-01-21;15848734.0;614808.0;229010.0;0.0;135000.0
2021-01-22;16999030.0;618768.0;236803.0;0.0;135000.0
2021-01-23;18231075.0;629626.0;244683.0;0.0;146612.0
2021-01-24;19031416.0;645105.0;249150.0;0.0;146612.0
2021-01-25;19601798.0;652319.0;260607.0;0.0;146612.0
2021-01-26;20380137.0;656044.0;276515.0;0.0;146612.0
2021-01-27;22710039.0;657842.0;297615.0;0.0;146612.0
2021-01-28;23947825.0;662217.0;315956.0;0.0;146612.0
2021-01-29;25555544.0;670307.0;331111.0;0.0;146612.0
2021-01-30;27380403.0;673327.0;335576.0;0.0;176286.0
2021-01-31;28568040.0;675202.0;336480.0;0.0;343526.0
2021-02-01;29532966.0;677539.0;348281.0;0.0;343526.0
2021-02-02;30541363.0;686601.0;372687.0;0.0;343526.0
2021-02-03;32217357.0;695088.0;398774.0;0.0;343526.0
2021-02-04;33516440.0;700316.0;432605.0;0.0;356517.0
2021-02-05;35067928.0;710198.0;463234.0;0.0;382975.0
2021-02-06;36820868.0;710198.0;469708.0;0.0;414198.0
2021-02-07;38840430.0;713517.0;473085.0;0.0;571145.0
2021-02-08;39967232.0;717820.0;483169.0;0.0;571145.0
2021-02-09;41222225.0;724347.0;510757.0;0.0;571145.0
2021-02-10;42359000.0;724707.0;536070.0;0.0;571145.0
2021-02-11;44026217.0;725447.0;572227.0;0.0;571145.0
2021-02-12;45807908.0;726002.0;606549.0;0.0;571145.0
2021-02-13;47937168.0;726313.0;615147.0;0.0;571145.0
2021-02-14;49704666.0;726313.0;617063.0;0.0;783438.0
2021-02-15;51293924.0;749682.0;630689.0;0.0;783438.0
2021-02-16;52107732.0;915383.0;645149.0;0.0;783438.0
2021-02-17;53478804.0;1157805.0;664819.0;0.0;783438.0
2021-02-18;54655679.0;1318055.0;692575.0;0.0;783438.0
2021-02-19;56268605.0;1574158.0;723221.0;0.0;783438.0
2021-02-20;59707686.0;1656304.0;729143.0;0.0;783438.0
2021-02-21;61264212.0;1689158.0;731295.0;0.0;1014039.0
2021-02-22;62994500.0;1733404.0;743831.0;0.0;1014039.0
2021-02-23;64803334.0;1801156.0;763689.0;0.0;1014039.0
2021-02-24;64965970.0;1900784.0;786694.0;0.0;1014039.0
2021-02-25;66517466.0;2088813.0;818211.0;0.0;1014039.0
2021-02-26;68225069.0;2271032.0;849878.0;0.0;1014039.0
2021-02-27;70561161.0;2383411.0;854238.0;0.0;1014039.0
2021-02-28;72930458.0;2455095.0;855067.0;8200.0;1336428.0
2021-03-01;75256973.0;2526863.0;868427.0;8200.0;1336428.0
2021-03-02;76909975.0;2583435.0;891808.0;8200.0;1336428.0
2021-03-03;78668082.0;2633580.0;921505.0;8200.0;1336428.0
2021-03-04;80582748.0;2676035.0;970494.0;8200.0;1336428.0
2021-03-05;82683743.0;2731900.0;1014159.0;8200.0;1336428.0
2021-03-06;85177285.0;2765805.0;1022386.0;8200.0;1336428.0
2021-03-07;88015376.0;2793106.0;1023856.0;8200.0;1619839.0
2021-03-08;92047830.0;2849630.0;1041065.0;8200.0;1619839.0
2021-03-09;92381200.0;3100868.0;1069596.0;8200.0;1619839.0
2021-03-10;93682313.0;3488118.0;1105180.0;8200.0;1619839.0
2021-03-11;95784767.0;3800000.0;1158840.0;8200.0;1619839.0
2021-03-12;98293357.0;4005131.0;1202690.0;8200.0;1619839.0
2021-03-13;101211716.0;4214294.0;1212277.0;8200.0;1619839.0
2021-03-14;106967985.0;4339926.0;1213691.0;8200.0;1887726.0
2021-03-15;107009715.0;4404608.0;1244074.0;8200.0;1887726.0
2021-03-16;108906555.0;4530784.0;1290665.0;54000.0;1887726.0
2021-03-17;110624566.0;4737622.0;1338489.0;54000.0;1887726.0
2021-03-18;112994321.0;4947522.0;1413042.0;54000.0;1887726.0
2021-03-19;115805736.0;5186751.0;1479822.0;54000.0;1887726.0
2021-03-20;118523251.0;5459014.0;1501948.0;54000.0;1887726.0
